Timestamp,MagneticField_x,MagneticField_y,MagneticField_z
1724728344.851308,-34.183000,5.480000,-26.255000
1724728344.864361,-34.097000,5.467000,-26.193000
1724728344.877427,-34.008000,5.452000,-26.135000
1724728344.890450,-33.922000,5.437000,-26.076000
1724728344.903511,-33.832000,5.422000,-26.122000
1724728344.916650,-33.745000,5.407000,-26.173000
1724728344.929739,-33.656000,5.392000,-26.219000
1724728344.943816,-33.569000,5.380000,-26.262000
1724728344.956814,-33.481000,5.365000,-26.309000
1724728344.969782,-33.407000,5.365000,-26.340000
1724728344.983820,-33.334000,5.364000,-26.372000
1724728344.996816,-33.347000,5.377000,-26.358000
1724728345.009793,-33.363000,5.390000,-26.343000
1724728345.023867,-33.377000,5.404000,-26.327000
1724728345.036879,-33.393000,5.420000,-26.311000
1724728345.049850,-33.411000,5.434000,-26.296000
1724728345.063891,-33.604000,5.449000,-26.359000
1724728345.076866,-33.794000,5.460000,-26.425000
1724728345.089850,-33.986000,5.474000,-26.488000
1724728345.103903,-34.164000,5.473000,-26.566000
1724728345.116909,-34.339000,5.474000,-26.644000
1724728345.129888,-34.515000,5.474000,-26.722000
1724728345.142977,-34.691000,5.476000,-26.795000
1724728345.156523,-34.868000,5.476000,-26.872000
1724728345.170302,-35.015000,5.535000,-26.932000
1724728345.183930,-35.158000,5.594000,-26.990000
1724728345.197463,-35.127000,5.650000,-26.972000
1724728345.210913,-35.099000,5.708000,-26.956000
1724728345.224875,-35.069000,5.769000,-26.942000
1724728345.238845,-35.038000,5.827000,-26.929000
1724728345.252471,-35.009000,5.884000,-26.913000
1724728345.265792,-34.981000,5.941000,-26.895000
1724728345.279462,-34.849000,5.956000,-26.772000
1724728345.293167,-34.716000,5.970000,-26.648000
1724728345.306314,-34.614000,5.924000,-26.541000
1724728345.319354,-34.513000,5.879000,-26.434000
1724728345.332427,-34.412000,5.835000,-26.328000
1724728345.345523,-34.309000,5.793000,-26.218000
1724728345.358700,-34.206000,5.749000,-26.104000
1724728345.371776,-34.146000,5.822000,-26.163000
1724728345.384859,-34.087000,5.900000,-26.226000
1724728345.397943,-34.028000,5.974000,-26.295000
1724728345.412120,-34.072000,6.091000,-26.462000
1724728345.425227,-34.117000,6.208000,-26.633000
1724728345.438331,-34.160000,6.326000,-26.807000
1724728345.451456,-34.203000,6.443000,-26.982000
1724728345.465585,-34.247000,6.561000,-27.152000
1724728345.478637,-34.289000,6.678000,-27.324000
1724728345.491744,-34.334000,6.796000,-27.498000
1724728345.504767,-34.337000,6.797000,-27.502000
1724728345.518911,-34.336000,6.795000,-27.499000
1724728345.531948,-34.335000,6.795000,-27.496000
1724728345.544977,-34.333000,6.796000,-27.503000
1724728345.558000,-34.333000,6.797000,-27.504000
1724728345.571059,-34.333000,6.799000,-27.504000
1724728345.584170,-34.334000,6.803000,-27.502000
1724728345.597240,-34.334000,6.804000,-27.506000
1724728345.610238,-34.335000,6.804000,-27.503000
1724728345.623242,-34.336000,6.802000,-27.503000
1724728345.636245,-34.335000,6.805000,-27.504000
1724728345.649302,-34.336000,6.804000,-27.506000
1724728345.662301,-34.337000,6.804000,-27.505000
1724728345.675328,-34.337000,6.804000,-27.504000
1724728345.688335,-34.336000,6.806000,-27.500000
1724728345.701351,-34.337000,6.803000,-27.499000
1724728345.714427,-34.335000,6.800000,-27.498000
1724728345.728557,-34.332000,6.801000,-27.495000
1724728345.741610,-34.333000,6.801000,-27.496000
1724728345.754666,-34.333000,6.803000,-27.496000
1724728345.768805,-34.333000,6.802000,-27.497000
1724728345.781844,-34.334000,6.801000,-27.495000
1724728345.794924,-34.335000,6.801000,-27.496000
1724728345.807950,-34.336000,6.800000,-27.496000
1724728345.820963,-34.336000,6.799000,-27.502000
1724728345.834378,-34.337000,6.800000,-27.503000
1724728345.847673,-34.338000,6.801000,-27.500000
1724728345.861015,-34.339000,6.801000,-27.499000
1724728345.874390,-34.338000,6.801000,-27.503000
1724728345.888683,-34.335000,6.797000,-27.500000
1724728345.901794,-34.333000,6.797000,-27.497000
1724728345.914911,-34.333000,6.800000,-27.502000
1724728345.928383,-34.331000,6.800000,-27.501000
1724728345.942153,-34.331000,6.800000,-27.497000
1724728345.955931,-34.331000,6.801000,-27.495000
1724728345.969694,-34.328000,6.800000,-27.490000
1724728345.983224,-34.356000,6.726000,-27.430000
1724728345.996697,-34.387000,6.653000,-27.361000
1724728346.010227,-34.415000,6.579000,-27.297000
1724728346.023659,-34.448000,6.508000,-27.238000
1724728346.037110,-34.480000,6.431000,-27.181000
1724728346.050379,-34.509000,6.356000,-27.112000
1724728346.064049,-34.539000,6.284000,-27.047000
1724728346.077495,-34.568000,6.211000,-26.984000
1724728346.090925,-34.554000,6.150000,-27.012000
1724728346.104608,-34.540000,6.090000,-27.046000
1724728346.118168,-34.497000,6.107000,-27.145000
1724728346.131957,-34.450000,6.121000,-27.245000
1724728346.145282,-34.406000,6.135000,-27.338000
1724728346.158898,-34.360000,6.149000,-27.431000
1724728346.172202,-34.314000,6.167000,-27.519000
1724728346.185828,-34.138000,6.095000,-27.588000
1724728346.199411,-33.961000,6.020000,-27.647000
1724728346.213009,-33.786000,5.947000,-27.710000
1724728346.226775,-33.654000,5.859000,-27.679000
1724728346.240485,-33.521000,5.770000,-27.645000
1724728346.253979,-33.389000,5.682000,-27.611000
1724728346.267434,-33.260000,5.592000,-27.579000
1724728346.280668,-33.116000,5.592000,-27.468000
1724728346.294192,-32.970000,5.592000,-27.359000
1724728346.307823,-32.825000,5.589000,-27.251000
1724728346.321386,-32.810000,5.679000,-27.173000
1724728346.334978,-32.796000,5.765000,-27.099000
1724728346.348464,-32.780000,5.852000,-27.021000
1724728346.361817,-32.765000,5.940000,-26.946000
1724728346.375335,-32.752000,6.030000,-26.868000
1724728346.388839,-32.724000,6.104000,-26.757000
1724728346.402275,-32.693000,6.180000,-26.644000
1724728346.415682,-32.677000,6.165000,-26.617000
1724728346.428908,-32.664000,6.152000,-26.587000
1724728346.442268,-32.647000,6.139000,-26.552000
1724728346.455625,-32.631000,6.122000,-26.522000
1724728346.468878,-32.616000,6.109000,-26.488000
1724728346.482060,-32.603000,6.094000,-26.460000
1724728346.495363,-32.896000,6.227000,-26.395000
1724728346.508616,-33.189000,6.359000,-26.332000
1724728346.521646,-33.495000,6.505000,-26.303000
1724728346.534640,-33.804000,6.651000,-26.275000
1724728346.548709,-34.113000,6.799000,-26.239000
1724728346.561705,-34.419000,6.944000,-26.207000
1724728346.574664,-34.729000,7.088000,-26.179000
1724728346.588718,-34.993000,7.207000,-26.209000
1724728346.601627,-35.259000,7.324000,-26.240000
1724728346.615205,-35.524000,7.441000,-26.272000
1724728346.628617,-35.480000,7.410000,-26.333000
1724728346.642108,-35.434000,7.379000,-26.397000
1724728346.655405,-35.390000,7.349000,-26.462000
1724728346.668985,-35.348000,7.320000,-26.525000
1724728346.682033,-35.305000,7.292000,-26.587000
1724728346.695039,-35.174000,7.248000,-26.553000
1724728346.708031,-35.040000,7.206000,-26.522000
1724728346.721029,-34.952000,7.190000,-26.430000
1724728346.734033,-34.864000,7.178000,-26.341000
1724728346.747047,-34.775000,7.164000,-26.244000
1724728346.760072,-34.687000,7.152000,-26.153000
1724728346.773064,-34.602000,7.139000,-26.064000
1724728346.786057,-34.516000,7.124000,-25.968000
1724728346.800153,-34.322000,7.007000,-25.983000
1724728346.813155,-34.130000,6.887000,-26.002000
1724728346.826146,-34.028000,6.784000,-26.109000
1724728346.840226,-33.925000,6.681000,-26.218000
1724728346.853235,-33.823000,6.579000,-26.323000
1724728346.866270,-33.718000,6.476000,-26.428000
1724728346.879561,-33.614000,6.374000,-26.540000
1724728346.893016,-33.629000,6.182000,-26.525000
1724728346.906461,-33.643000,5.990000,-26.508000
1724728346.919676,-33.654000,5.798000,-26.490000
1724728346.933076,-33.770000,5.708000,-26.362000
1724728346.946302,-33.887000,5.620000,-26.239000
1724728346.959799,-34.004000,5.534000,-26.116000
1724728346.973164,-34.123000,5.446000,-25.991000
1724728346.986439,-34.240000,5.356000,-25.869000
1724728346.999867,-34.227000,5.398000,-25.853000
1724728347.013311,-34.214000,5.441000,-25.837000
1724728347.026600,-34.082000,5.572000,-25.949000
1724728347.039725,-33.948000,5.705000,-26.054000
1724728347.053034,-33.819000,5.839000,-26.168000
1724728347.066353,-33.690000,5.973000,-26.280000
1724728347.079629,-33.558000,6.106000,-26.387000
1724728347.093049,-33.500000,6.119000,-26.468000
1724728347.106268,-33.443000,6.132000,-26.548000
1724728347.119922,-33.384000,6.147000,-26.627000
1724728347.133185,-33.457000,6.030000,-26.598000
1724728347.146282,-33.529000,5.912000,-26.567000
1724728347.159829,-33.602000,5.795000,-26.534000
1724728347.173302,-33.675000,5.679000,-26.508000
1724728347.186866,-33.747000,5.561000,-26.474000
1724728347.200148,-33.703000,5.634000,-26.318000
1724728347.213719,-33.660000,5.708000,-26.160000
1724728347.227375,-33.541000,5.899000,-26.033000
1724728347.240805,-33.421000,6.093000,-25.909000
1724728347.254053,-33.305000,6.285000,-25.781000
1724728347.267454,-33.187000,6.476000,-25.659000
1724728347.281162,-33.070000,6.668000,-25.534000
1724728347.294832,-32.951000,6.858000,-25.675000
1724728347.308656,-32.835000,7.046000,-25.811000
1724728347.321924,-32.719000,7.236000,-25.954000
1724728347.335443,-32.720000,7.236000,-26.217000
1724728347.348960,-32.718000,7.236000,-26.481000
1724728347.362444,-32.716000,7.237000,-26.748000
1724728347.375775,-32.717000,7.236000,-27.017000
1724728347.389152,-32.716000,7.237000,-27.285000
1724728347.403238,-32.775000,7.046000,-27.373000
1724728347.416472,-32.835000,6.855000,-27.465000
1724728347.429894,-32.896000,6.666000,-27.289000
1724728347.443239,-32.954000,6.479000,-27.120000
1724728347.456524,-33.013000,6.290000,-26.946000
1724728347.470001,-33.072000,6.098000,-26.774000
1724728347.483459,-33.133000,5.907000,-26.604000
1724728347.496955,-33.191000,5.714000,-26.433000
1724728347.510182,-33.234000,5.434000,-26.245000
1724728347.523569,-33.279000,5.154000,-26.054000
1724728347.537129,-33.266000,5.065000,-26.039000
1724728347.550619,-33.250000,4.979000,-26.025000
1724728347.563797,-33.233000,4.889000,-26.013000
1724728347.577360,-33.217000,4.801000,-26.000000
1724728347.591482,-33.202000,4.713000,-25.982000
1724728347.605063,-33.229000,4.892000,-25.985000
1724728347.618631,-33.257000,5.068000,-25.987000
1724728347.632004,-33.288000,5.245000,-25.984000
1724728347.645869,-33.333000,5.511000,-25.996000
1724728347.659836,-33.376000,5.775000,-26.012000
1724728347.673780,-33.419000,6.040000,-26.027000
1724728347.687503,-33.464000,6.304000,-26.043000
1724728347.700950,-33.465000,6.450000,-26.044000
1724728347.715654,-33.468000,6.595000,-26.044000
1724728347.729397,-33.467000,6.741000,-26.045000
1724728347.742802,-33.424000,6.622000,-26.027000
1724728347.757469,-33.381000,6.505000,-26.012000
1724728347.771110,-33.337000,6.386000,-26.000000
1724728347.785610,-33.290000,6.268000,-25.985000
1724728347.799421,-33.247000,6.151000,-25.971000
1724728347.813084,-33.204000,6.034000,-25.958000
1724728347.826413,-33.159000,5.913000,-25.943000
1724728347.840386,-33.160000,5.915000,-25.941000
1724728347.853683,-33.160000,5.915000,-25.936000
1724728347.867542,-33.161000,5.916000,-25.932000
1724728347.881117,-33.158000,5.915000,-25.935000
1724728347.895699,-33.157000,5.913000,-25.937000
1724728347.909353,-33.156000,5.916000,-25.938000
1724728347.924081,-33.159000,5.916000,-25.937000
1724728347.937501,-33.160000,5.916000,-25.933000
1724728347.951105,-33.160000,5.916000,-25.933000
1724728347.965272,-33.160000,5.917000,-25.934000
1724728347.979116,-33.160000,5.917000,-25.937000
1724728347.994189,-33.157000,5.918000,-25.939000
1724728348.007954,-33.156000,5.917000,-25.941000
1724728348.021355,-33.160000,5.917000,-25.941000
1724728348.034906,-33.160000,5.917000,-25.941000
1724728348.048572,-33.160000,5.916000,-25.945000
1724728348.062273,-33.159000,5.919000,-25.945000
1724728348.075516,-33.157000,5.919000,-25.948000
1724728348.089127,-33.157000,5.919000,-25.949000
1724728348.102694,-33.156000,5.920000,-25.950000
1724728348.116237,-33.154000,5.920000,-25.947000
1724728348.129729,-33.155000,5.921000,-25.948000
1724728348.143489,-33.157000,5.919000,-25.949000
1724728348.157292,-33.156000,5.917000,-25.949000
1724728348.171153,-33.157000,5.916000,-25.947000
1724728348.184588,-33.158000,5.917000,-25.939000
1724728348.198321,-33.159000,5.917000,-25.938000
1724728348.212115,-33.161000,5.917000,-25.937000
1724728348.225925,-33.161000,5.916000,-25.937000
1724728348.239594,-33.162000,5.917000,-25.932000
1724728348.253440,-33.163000,5.916000,-25.939000
1724728348.267442,-33.164000,5.915000,-25.936000
1724728348.280997,-33.163000,5.920000,-25.933000
1724728348.294230,-33.163000,5.919000,-25.934000
1724728348.307721,-33.162000,5.923000,-25.940000
1724728348.321600,-33.410000,5.967000,-25.898000
1724728348.335315,-33.659000,6.009000,-25.848000
1724728348.349060,-33.910000,6.053000,-25.799000
1724728348.362441,-34.159000,6.097000,-25.752000
1724728348.376204,-34.408000,6.142000,-25.706000
1724728348.389756,-34.656000,6.187000,-25.656000
1724728348.403446,-34.906000,6.231000,-25.612000
1724728348.416612,-35.040000,6.287000,-25.502000
1724728348.429589,-35.173000,6.346000,-25.388000
1724728348.443620,-35.304000,6.404000,-25.278000
1724728348.456562,-35.189000,6.419000,-25.216000
1724728348.469709,-35.070000,6.435000,-25.151000
1724728348.483311,-34.954000,6.449000,-25.091000
1724728348.496646,-34.835000,6.463000,-25.030000
1724728348.509910,-34.718000,6.476000,-24.972000
1724728348.523374,-34.515000,6.476000,-25.106000
1724728348.536709,-34.309000,6.477000,-25.246000
1724728348.550049,-34.221000,6.460000,-25.454000
1724728348.563239,-34.132000,6.446000,-25.657000
1724728348.576525,-34.046000,6.431000,-25.854000
1724728348.590189,-33.957000,6.416000,-26.050000
1724728348.603607,-33.870000,6.401000,-26.258000
1724728348.617059,-33.678000,6.387000,-26.274000
1724728348.630506,-33.487000,6.372000,-26.291000
1724728348.643850,-33.297000,6.358000,-26.304000
1724728348.657395,-33.191000,6.358000,-26.123000
1724728348.670816,-33.089000,6.357000,-25.932000
1724728348.684270,-32.986000,6.359000,-25.745000
1724728348.698791,-32.884000,6.358000,-25.561000
1724728348.712329,-32.781000,6.357000,-25.376000
1724728348.725535,-32.752000,6.358000,-25.164000
1724728348.738838,-32.722000,6.357000,-24.944000
1724728348.752256,-32.790000,6.358000,-24.912000
1724728348.765604,-32.864000,6.360000,-24.880000
1724728348.779382,-32.936000,6.357000,-24.852000
1724728348.792990,-33.011000,6.357000,-24.820000
1724728348.806408,-33.085000,6.357000,-24.796000
1724728348.819465,-33.143000,6.371000,-24.888000
1724728348.833022,-33.201000,6.390000,-24.983000
1724728348.846356,-33.259000,6.407000,-25.072000
